Synsets,domain_x,nrdirhypers_x,nrhypos_x,nrpartrels_normalised_x,depthfromtopsynset_normalised_x,glosslength_normalised_x,minwordlength_x,nroflemmas_x,polyscore_max_x,vote_x,ngram_2009_2019_original_sleep,ngram_2009_2019_updata_sleep
Synset('topper.n.05'),garm,1,0,0.0,1.052836052836053,0.3304475064016583,6,1,6,nb,3.5719787753892135e-07,3.5719787753892135e-07
Synset('mantilla.n.01'),garm,1,0,0.0,0.9475524475524476,0.4626265089623216,8,1,2,nb,1.0121601958840659e-07,1.0121601958840659e-07
Synset('chemise.n.01'),garm,1,0,3.613333333333333,0.9475524475524476,0.5452383855627362,4,5,26,nb,7.17592106956776e-05,7.17592106956776e-05
Synset('panty_girdle.n.01'),garm,1,0,0.0,1.1581196581196582,0.9417753932447264,12,1,1,nb,3.711515105669916e-09,3.711515105669916e-09
Synset('foundation_garment.n.01'),garm,1,3,0.0,0.9475524475524476,1.1400438970857212,10,2,7,nb,4.896478344589921e-05,4.896478344589921e-05
Synset('chiton.n.01'),garm,1,0,0.0,1.1581196581196582,0.8922082672844774,6,1,2,nb,1.0942636724015581e-07,1.0942636724015581e-07
Synset('garment.n.01'),garm,1,271,65.03999999999999,0.736985236985237,0.3634922570418241,7,1,2,nb,5.430735435332033e-06,5.430735435332033e-06
Synset('neckcloth.n.01'),garm,1,0,0.0,1.052836052836053,0.4295817583221558,5,2,27,nb,6.126345691499905e-05,6.126345691499905e-05
Synset('haik.n.01'),garm,1,0,0.0,0.8422688422688422,1.6687599073283743,4,2,1,nb,4.7673192112397296e-08,4.7673192112397296e-08
Synset('coat.n.01'),garm,1,53,14.453333333333331,0.9475524475524476,1.4374466528472136,4,1,6,b,2.7261308492721913e-05,2.7261308492721913e-05
Synset('overskirt.n.01'),garm,1,0,0.0,0.9475524475524476,0.6278502621631508,9,1,1,nb,3.215458613196256e-08,3.215458613196256e-08
Synset('hair_shirt.n.01'),garm,1,0,0.0,0.9475524475524476,1.404401902207048,10,1,1,nb,4.898079784063849e-08,4.898079784063849e-08
Synset('brassiere.n.01'),garm,2,1,3.613333333333333,0.8422688422688422,0.8922082672844774,3,3,1,b,4.552489173404904e-06,4.552489173404904e-06
Synset('robe.n.01'),garm,1,4,0.0,0.8422688422688422,0.4130593830020729,4,1,4,b,7.666548964638507e-06,7.666548964638507e-06
Synset('tunic.n.02'),garm,1,6,0.0,1.052836052836053,1.173088647725887,5,1,2,b,2.625228820430824e-06,2.625228820430824e-06
Synset('neckwear.n.01'),garm,1,12,0.0,0.8422688422688422,0.6608950128033166,8,1,1,nb,2.657287745084679e-08,2.657287745084679e-08
Synset('white_tie.n.01'),garm,1,0,0.0,1.1581196581196582,0.8591635166443117,9,1,2,nb,1.0113316405536597e-07,1.0113316405536597e-07
Synset('buckskins.n.01'),garm,1,0,0.0,1.052836052836053,0.4130593830020729,9,1,3,nb,8.729005013757335e-08,8.729005013757335e-08
Synset('slack_suit.n.01'),garm,1,1,0.0,0.9475524475524476,0.8756858919643945,10,1,1,nb,2.6130152587132793e-09,2.6130152587132793e-09
