norm,KBNC_1m_Count
grass,107
kidnapped,5
applied,5
darling,38
classroom,25
Ring,2
45,1
salt,56
snore,3
killed,69
Eventually,28
containing,13
ey,1
remarkable,10
possible,107
Ssshh,1
knit,19
temperature,13
mystified,3
calf,14
gasps,4
shoot,50
whereas,3
superiority,4
peacefully,7
show,194
groaned,30
meek,4
secs,2
Marion,125
shifting,13
receiver,20
wisp,4
shop,124
mad,118
children,307
hello,9
grunt,7
blue,180
Monument,60
sound,215
chemise,1
showed,76
magpie,13
drinking,29
lesson,55
Listen,49
tablespoon,1
leapt,48
kidding,3
Bending,1
Cries,1
cards,36
hot,151
bone,27
health,19
nine,46
16,23
Beltane,1
retorted,8
belonged,25
guards,36
Goebbels,1
wickedly,1
crimson,18
cat,114
Potatoes,3
Lorenzo,8
evening,161
noticed,140
stuffed,31
Little,180
thrusting,9
Gillian,32
silly,80
Is,260
brushing,14
basil,4
handling,4
restless,11
iron,54
windows,105
stuttering,2
jets,7
engines,8
ravens,1
SQUAWRK,2
Driving,2
Sometimes,57
keen,29
rebel,1
wears,12
Jinny,215
wearily,16
accidents,11
patting,6
use,219
respected,3
Gazzer,307
God,251
popped,10
weak,27
guineas,5
sunny,15
Ship,100
Zach,176
BOTH,5
pair,100
interested,73
square,93
Immaculate,1
arm,272
stripes,6
black,306
publishing,1
ought,84
rough,44
thinking,278
sausage,8
punish,9
Meredith,29
seats,26
whole,287
undergrowth,13
boughs,2
spend,50
meet,144
From,116
rum,5
fond,19
celebration,6
tease,5
novel,8
journeys,5
Mock,4
cardi,3
hide,91
Rokeya,31
sardonic,4
Most,50
worm,22
d,27
DOOR,2
passion,12
palm,26
reckoning,3
missed,52
Tawny,6
promise,65
pus,1
Town,21
matter,171
anatomical,1
Th'bist,8
previous,20
King,145
moments,28
dusted,5
measured,15
hedge,34
Chorea,1
glockenspiel,2
detect,2
flipping,7
O'Malley,4
appeared,90
wolfskin,1
introducing,4
dare,67
den,12
settle,22
rubbish,35
bound,40
helpful,19
wireless,11
nick,15
weapons,11
others,193
mill-wheel,5
rail,10
fiction,2
coloured,70
Like,113
slightest,13
Philippa,86
picked,172
auction,5
cautiously,22
Marx,58
Tamara,2
pie,27
smoke,72
grandmother,10
Maker,10
Omi,129
lip,35
droopy,3
knees,83
curiously,14
hid,33
Foggerty,28
disease,5
hefty,1
trooped,2
en,4
stable,29
repeated,73
consume,1
weary,11
rich,38
luck,61
nameless,4
bring,115
acne,1
playground,33
phone,72
cockerel,1
workmen,14
gibbered,2
guess,41
clothes,145
policewoman,5
marvels,2
corridors,60
counts,8
alongside,20
dad,71
Hector,165
grows,9
Narcissus,13
unwelcome,2
Sea,16
perpendicular,12
Switch,3
sweet,62
chose,28
travel,35
squeaky,1
shiver,7
groan,5
Scotland,16
sweeping,23
peace,36
Bolsover,8
heavily,38
Don,42
swung,71
Stupid,5
4,140
remembering,39
bookcase,10
twirled,3
thinks,79
Mars,15
proud,40
guard,62
Mamma,11
th'could,1
Scrape,1
inland,5
ordinary,42
tightly,33
forgot,40
Palace,8
Deeper,3
kissed,28
knows,101
holding,139
boil,14
hole,101
cottage,116
thrown,34
roll,36
imagination,28
Startled,2
manage,57
doth,1
Before,51
New,19
Jonathan,20
Carter,5
6,110
lump,31
light,287
barking,45
shrunken,3
Olinton,28
services,5
triumph,22
roadside,4
Charlie,11
wrapping,5
Again,32
Welcome,7
sidled,2
ride,120
sailors,30
alligators,3
obvious,42
restraining,4
doctors,14
stashed,2
obstinate,3
FOR,7
Search,4
above,186
time-switch,1
O-Cedar,1
dreadful,37
rude,30
hall,126
SEA,2
Four,16
men,242
y'self,1
stomach,56
carried,117
Usually,17
puzzled,48
racks,2
Packs,6
wooden,117
Sinkport,12
adventure,18
price,20
cup,66
gentle,34
flew,91
cushion,7
plunging,3
messy,7
formed,28
jar,28
Yeh,22
stored,6
comes,105
shadow,54
anybody,44
bowls,9
adorned,8
old-fashioned,21
Christian,40
correct,43
turns,40
sneak,8
Each,49
Single,1
training,45
area,96
Shafts,1
importance,10
Green,42
platforms,1
suit,40
crazy,50
jug,34
Hollins,39
sadness,11
kindly,41
Jews,6
changing,25
lacking,4
let's,59
throat,85
ivory,6
boldness,3
crisp,12
red,248
ways,60
highly,13
heavy,120
Blood,4
bravest,2
fears,14
thatched,6
maybe,86
attach,3
pressed,54
ended,34
sprawling,10
Tina,133
Sure,21
option,2
nomes,117
coincidence,7
daily,15
pretending,31
arrogance,3
flopped,7
frowning,17
Zacchaeus,13
bacon,22
brute,13
wanting,56
fancy,39
gag,3
usual,89
hurried,65
hamlet,2
befall,1
slits,2
hailer,3
swiftly,15
caught,225
flies,23
unspeakably,2
wife,154
scrumpled,3
frail,7
rooms,58
lamp,35
oldest,19
Finally,24
Imagine,14
slow-moving,2
despairingly,2
bother,38
wonderful,65
bags,26
nostrils,16
eye,144
Wakey-wakey,1
Thing,263
Are,178
Bully,23
remaining,14
girls,162
earlier,26
Nellie,14
enlarger,2
threw,79
washed,37
hope,164
dinner,59
Santa,10
switch,17
older,61
reminded,30
mistake,46
hints,10
Jason,57
manner,34
backwards,64
knob,4
exposed,10
Houy,5
rejecting,2
hat,88
four,184
