norm,Synsets,domain_x,ngrams_last_mean,nrdirhypers_x,nrhypos_x,nrpartrels_normalised_x,depthfromtopsynset_normalised_x,glosslength_normalised_x,minwordlength_x,nroflemmas_x,polyscore_max_x,vote_x,kbnc_1m_sum,childes_1m_rel_sum,childes_2_4m_rel_sum,childes_5_7m_rel_sum,bnc_1m_sum,bnc_5_7m_sum,bnc_2_4m_sum,bnc_100m_sum,cabnc_per_100k_2_4m,cabnc_per_100k_1m
mandarin,Synset('mandarin.n.05'),fruit,-15.0028745,1,3,1.3401360544217686,1.0012706480304956,0.9515375945902432,8,2,6,b,0,2e-05,6.25e-06,1.1403508771929824e-05,5,60,25,980,0,0
mango,Synset('mango.n.02'),fruit,-13.74798341,1,0,1.3401360544217686,0.8761118170266836,1.4114474319755272,5,1,2,b,4,0.0,1.6666666666666667e-06,1.0526315789473683e-06,4,16,6,210,2,6
mangosteen,Synset('mangosteen.n.02'),fruit,-17.53794673,1,0,1.3401360544217686,0.8761118170266836,1.4590243117050394,10,1,2,b,0,0.0,0.0,0.0,0,0,0,4,0,0
marang,Synset('marang.n.02'),fruit,-19.88614233,1,0,1.3401360544217686,0.8761118170266836,1.522460151344389,6,1,2,b,0,0.0,0.0,0.0,0,0,0,0,0,0
mcintosh,Synset('mcintosh.n.01'),fruit,-14.43978821,1,1,0.0,1.1264294790343077,1.76034454999195,8,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
melon_ball,Synset('melon_ball.n.01'),fruit,-19.97978438,1,0,0.0,1.0012706480304956,0.4916277572049589,10,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
melon,Synset('melon.n.01'),fruit,-13.81238123,1,9,1.3401360544217686,0.8761118170266836,1.316293672516503,5,1,2,b,14,3e-05,4.0833333333333334e-05,3.1228070175438594e-05,0,16,4,368,0,0
morello,Synset('morello.n.02'),fruit,-18.97430597,1,0,2.6802721088435373,1.1264294790343077,0.8722427950410562,7,1,2,nb,0,0.0,0.0,0.0,0,0,0,20,0,0
muscadine,Synset('muscadine.n.02'),fruit,-17.83773293,1,1,1.3401360544217686,1.0012706480304956,0.6819352761230076,9,2,2,nb,0,0.0,0.0,0.0,0,0,0,2,0,0
muscat,Synset('muscat.n.04'),fruit,-17.99547362,1,0,1.3401360544217686,1.1264294790343077,0.7295121558525197,6,3,4,nb,0,0.0,0.0,0.0,3,6,6,181,0,0
muskmelon,Synset('muskmelon.n.02'),fruit,-18.00447202,1,6,1.3401360544217686,1.0012706480304956,1.2528578328771536,9,2,2,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
navel_orange,Synset('navel_orange.n.01'),fruit,-17.99159155,1,0,0.0,1.2515883100381195,0.9673965545000806,12,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
nectarine,Synset('nectarine.n.02'),fruit,-15.91921041,1,0,1.3401360544217686,0.8761118170266836,0.903960714860731,9,1,2,b,0,1.4e-05,1.1666666666666666e-05,1.2982456140350877e-05,0,0,0,24,0,2
net_melon,Synset('net_melon.n.02'),fruit,-23.04783737,1,0,1.3401360544217686,1.1264294790343077,1.4590243117050394,9,3,2,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
