norm,BNC_2_4m_Count
matic,1
names,168
sources,142
knew,529
1991,276
hitherto,33
eleven,82
tbsp,9
1977,78
concentration,72
carefully,138
george,241
achieved,165
appropriate,235
became,482
reported,249
country,643
householder,6
fruit,89
henry,147
live,332
sheet,77
nausea,10
eh,88
sciences,48
factors,190
french,392
upward,14
load,76
fault,72
brother,188
powerful,144
heat,126
linear,31
ferry,27
yes,1249
edmund,15
village,246
suppressed,11
council,672
monarch,17
halve,6
eating,94
sister,155
son,251
southern,130
differing,29
tumour,28
1966,38
appealed,24
roughly,63
demokratischen,1
predecessor,18
witness,55
male,243
neighbours,69
companies,367
ireland,214
chairman,273
anselm,8
goals,88
backless,1
wrong,304
recognise,85
equal,132
direct,239
teaching,182
n,216
distributed,72
focal,11
nt,45
starr,5
principle,194
sales,220
communications,80
whipped,9
shops,121
fit,177
receiving,60
causes,90
image,157
accorded,11
consists,56
stilled,6
feet,283
andover,2
leads,70
morbidity,10
british,777
sea-wall,2
emotions,42
social,880
prepubertal,1
quantity,44
blue,198
amounts,69
400,36
waste,118
mere,69
produce,253
4–2,2
figure,364
sunburnt,1
both,1412
regained,9
occupation,62
na,339
golf,69
confined,45
environment,294
data,385
suggestive,7
draw,139
mass,167
flic,2
hitting,32
include,313
lent,29
settlement,86
fund,152
stolen,60
transfer,156
timeless,3
run,426
input,67
etc,104
county,215
implications,103
wit,23
apportioned,3
sick,92
colliers,2
housing,206
sadness,19
weather,138
hea,1
desperately,35
genuine,76
absence,115
finland,9
greatness,9
protests,21
flow,96
linked,95
rate,392
painted,55
subsequent,89
procedures,119
facilities,177
levels,287
totally,120
attention,295
eleanor,26
sounded,44
tapping,13
suspects,14
appointments,30
2,760
peering,14
slower,27
hello,101
months,510
knows,186
bracket,11
handle,67
corner,169
standing,211
16,166
invest,39
quartier,1
knowledgeable,7
history,406
pit,37
cried,65
debt,117
fellow,112
alike,24
conclusion,102
nationals,21
appalachian,1
regarded,170
eager,33
dissection,1
adverts,2
unhappy,46
true,339
rosy,9
minutes,400
each,1241
legal,284
interview,93
rachmaninoff,1
met,301
complex,174
10-bracknell,1
powerlessness,2
walsingham,4
example,794
unknown,94
somebody,164
bar,171
recusant,1
sets,111
freeze,19
mitigation,3
secured,38
electricity,84
jesus,127
red,318
seen,820
dawn,48
ussr,28
presumptive,1
knife,63
allowance,53
item,95
always,895
overriding,11
angry,95
establishment,87
loan,99
ace,38
threat,137
neither,165
grip,34
chang,6
p,197
higher,345
shows,227
r,164
permissible,9
boswell,11
robin,36
whose,427
ships,63
justice,155
christmas,167
vga,7
expert,98
cancel,22
strain,60
later,825
dead,274
arginine-nitric,1
standards,192
mclean,10
getting,429
gladly,2
artificially,7
k.,16
represents,66
wo,319
1–11s,1
descent,26
sacrifice,21
atoms,23
selection,152
cement,12
participants,48
selling,132
commodity,23
replacement,57
prothrombotic,1
next,985
effort,149
fine,254
nine,298
behaviour,257
allen,29
composing,2
worst,100
dg,2
multi-media,4
clauses,25
cos,388
half,635
borough,46
spectacles,15
1930s,37
5.5pc,1
department,393
austerity,7
elliott,9
matrix,25
operational,35
joseph,59
acknowledging,10
4000,5
case,1022
add,171
carry-out,1
key,293
hill,152
qualified,54
proposed,169
marble,24
loose,44
february,170
bell,76
hospital,302
stays,24
phone,168
science,245
twilight,6
vocals,6
front,465
loss,236
remove,101
flame,24
tarot,1
proposal,90
trendy,9
masonry,12
duty,173
mary,136
brew,6
shapechangers,2
provision,176
favourite,111
buy-out,12
'would,1
creeping,12
limiting,17
1920,21
improved,98
etonian,1
alfa,5
named,104
primary,200
sun,249
couples,28
intelligence,57
desperate,51
sheets,59
batteries,19
cheque,43
fixtures,19
mapley,1
died,300
hanley,6
forever,41
1984/5,2
regulations,95
established,265
hereof,2
overwhelming,26
signing,48
medication,13
doth,4
turn,438
interested,201
overall,162
saw,568
sara,34
tour,123
forward,314
vat,59
glittered,9
farmer-settlers,1
somehow,89
knockout,4
inn,39
driving,116
substantial,147
suppose,211
dense,18
rooms,102
string,59
abortion,23
19th,25
maintains,18
church,456
damage,171
inquiry,70
teenage,25
artists,84
confirm,70
victory,117
date,353
employee,73
piece,185
spontaneity,2
wide,262
fleeing,9
mirage,3
shopper,2
strewn,7
mid-wales,1
trap,43
waited,68
wantage,5
facility,49
demonstrate,59
brothers,76
tended,57
primed,3
ragusan,1
follow,221
vibration,3
dried,37
precisely,61
design,307
prescriptions,6
provide,466
tea,159
cemeteries,8
literally,45
observant,2
adopted,103
faltering,7
stained,27
doodling,1
product,224
elections,133
6.1,12
80%,10
18,175
matched,32
spontaneously,6
post,209
modifications,18
recovery,85
reassessed,2
living,350
400°f/gas,1
huge,171
8.1,7
latter,171
lounge,31
"50,000",17
potentially,48
descend,10
everton,19
alga,1
daftness,1
severe,96
package,107
selfish,15
education,545
darwin,23
stay,221
early,707
degree,189
carried,294
hard,458
acting,107
attractive,110
severely,36
exception,55
essentially,65
achieve,136
deceit,9
danger,126
whereas,136
studies,286
drug,89
colours,118
dissatisfaction,11
bussed,2
send,161
'm,1350
prevent,129
severn,8
star,135
display,144
spices,9
avoid,143
upsides,1
assembly,111
touch,162
denmark,27
comet,4
given,876
several,515
convergence,12
schools,340
brendan,9
africa,178
grade,54
bill,304
feed,71
villa,39
corp,127
grant,160
calculated,61
consecutive,16
unsuitable,13
sin,28
holland,33
traynor,2
expenses,38
grass,83
specialized,11
unclothed,1
crept,22
questions,303
perforce,3
old,1152
worse,151
officers,189
immature,18
sponsors,14
brochure,26
fat,91
organising,21
bills,72
maturity,35
scarman,6
borneo,8
correspondent,55
sniff,9
lost,416
fallon,12
gratitude,18
jury,52
controls,76
elegant,32
non-verbal,6
academic,104
shook,99
seem,349
occasionally,86
bread,86
begin,166
supervision,34
harm,60
friendly,82
seeks,30
zloty,1
successful,231
prediction,16
falls,67
below,306
estates,37
1750,3
sensitivity,35
pouring,26
opposite,106
missed,101
fan,42
stimulated,17
indica,1
december,191
integral,29
messages,38
carter-ruck,1
lessons,55
interacts,4
blade,18
anyway,250
greece,35
smallest,18
musical,73
$,4
wilko,5
courses,183
worth,237
interpreter,12
components,75
acid,110
card,128
corresponding,41
scotch,13
pause,41
cope,84
hit,225
altrincham,1
cousins,9
67,16
butterfly,12
lease,56
livermore,4
visibility,14
individuals,185
trains,41
romantic,42
vast,88
educational,128
essential,177
reduce,149
buses,39
conducted,68
ate,33
discussing,45
tory,80
theories,67
silk,56
report,478
matisse,10
threshold,16
cardiff,35
measures,145
free,412
byelorussia,4
strategy,116
lottie,2
designed,214
interests,226
ditch,11
z,19
rapid,76
orthodox,31
ground,338
wait,170
spiritualists,2
france,265
alone,305
missing,92
terrace,35
notify,14
nights,67
suspicion,29
wilson,83
attend,66
ship,105
unwanted,27
torrance,2
disappeared,67
aardvarks,1
certainly,397
encephalitis,2
trajectories,5
details,239
