index,CHILDES_Count
fight,101
pile,66
ughoh,20
phoebe,7
coping,2
walk,441
roof,130
upstairs,358
sonia,4
tellie,103
ourselves,16
nobody,146
potato,57
poorly,289
favorite,301
fixed,66
lip,9
nutty,5
family,62
pressure's,2
running,281
drawing,285
cuts,15
tshirt,79
stormed,3
hadn't,96
each,108
happening,163
saturday,130
billy,38
salmon,21
chin,57
jungle_book,10
rocking,39
makes,203
fruit,98
bottoms,14
buied,2
gladys's,1
seconds,10
interested,60
naw,27
giving,212
young,70
sick,204
astonishment,2
breath,34
afternoons,3
easier,90
⁎thank,2
tall,172
evening,11
0are,364
worms,48
handbag,26
tv,120
dong,12
ducky,25
sauce,79
lolly,48
hothouses,1
eyes,523
diandros,24
purple,225
nightmare,26
fresh,37
nope,87
steps,96
em,263
hands,583
paid,28
yea,52
joined,9
pedal,9
pot,118
carrots,98
brother,182
pyramid,17
sausage,217
double,23
0am,129
supper,113
tow,47
brilliant,231
carrot,89
merrygoround,29
phone,241
mouths,8
pingu,267
bunk,18
married,53
tots_tv,30
spaceship,15
xxxxx,80
heavy,220
bumpety^bump,1
gorgeous,90
babys,121
cookout,3
sticklebricks,10
woo,65
puff,30
tail,272
popsicle,22
giraffe,394
gnasher,2
juicy,12
cuddle,219
finish,352
squats,2
petal,28
mr,110
moncia's,2
noddy,101
years,111
underdog,4
no_way,2
routine,6
dog,1125
subway,12
knick_knicks,9
smacked,21
storm,12
sally,84
square,106
turns,45
warm,208
bottles,64
grocer,2
petrol,100
baskets,6
mine's,92
mistakes,4
sir,61
mile,7
jelly,63
tricked,6
accept,1
cotton_place,3
whinie,5
stream,42
you_see,135
sweets,74
christine,34
aunty,27
presents,98
anthony,5
mood,37
fourteen,64
thanksgiving,3
uuuuh,2
butterflies,19
playground,47
cushions,31
onto,161
passage,3
gooo,10
fabulous,19
table,761
woman,65
ian,12
behavior,8
harpsichord,14
purpose,18
hoovering,15
throwing,116
cornflakes,36
picked,75
hiya,109
project⁎↗,1
pervert,3
boats,62
cafe,40
ray,6
mother,187
rainbow,53
listen,230
measured,10
park,303
machine,91
sort_of,83
screw,66
head's,36
pinched,18
beverly,3
screws,15
pilot,18
it'd,24
motorbike,45
dave,19
slippers,110
pieces,249
wisdom,5
using,68
nan,19
catherine,58
spoke,4
alice,40
eleven,112
cooking,139
count,216
mollycoddling,2
william,37
puppys,37
tracks,41
soames,18
quigly,5
wakening,6
spilled,35
drinker,1
scalp,6
carrier,16
tuesday,79
thoroughly,8
giant,62
chop,64
d,227
cromer,245
dentist,56
cremesoda,1
°xxx°,14
knickers,79
passengers,40
men,259
boom,94
brambley_hedge,1
zita,54
touch,228
earmuffs,1
cranberry,10
nostril,2
err,65
stayed,61
dodie,46
stopped,127
desks,4
dow,14
..?,107
shiny,32
follow,21
waffle,9
steak,13
sister's,53
cloths,4
whatever,94
plenty,58
↑yeah,2
annie_apple,34
bmx,11
bounce,90
brrmmm,1
nana's,73
sweeties,117
flat,104
angelica,7
pointy,8
swam,4
city,31
barnes,21
rider,5
ninth,5
belongs,42
filter,1
squash,53
swept,4
gloves,25
turkeys,2
problem,105
genius,5
conna,1
suitcase,66
broccoli,38
wendy,8
pine,9
videos,16
trifle,1
whether,110
detail,1
aggravation,2
trash,24
aaah,2
grow,95
ironing,33
moped,3
dishes,49
messing,16
told,452
mummie's,145
trunks,11
doll,240
forty,48
course,97
delivering,14
sober,5
↑his,1
