index,CHILDES_Count
playschool,11
woof,49
biting,26
world,21
february,11
da,31
garages,2
he'll,128
settee,33
change,110
cellar,2
baby_bwight,1
waiting,81
polish,9
boot,60
cow's,15
talk,204
doctor,142
spinning,14
written,8
sylvia,32
chickens,44
mr_jolly,4
moving,42
places,14
storm,5
puffed,5
cromer,111
beepbeep,7
envelope,17
rather,32
ran,43
j,10
bumpy,16
shoo,8
loft,4
liz,127
crunched,7
doll's,23
hhh,156
aubergine,6
cowboy,78
within,7
ennis,2
plop,4
easily,16
combing,6
fluffy,17
shaking,12
squares,11
ouch,136
fallen,106
wallpaper,6
undone,13
sandra,12
sticks,21
dollies,31
rushing,4
listen,99
cups,45
gloria,22
cross,91
big_edward's,1
u,29
susan,4
expensive,4
cloth,21
houses,45
ella,68
words,38
giant,33
wanting,3
snowball,18
miss,40
anne's,68
"""/.",376
inky,1
stories,16
michelle's,2
peanutbutter,24
end,171
strawberry,64
delicious,31
soldier,14
match,23
singing,54
valentine,12
supper,44
sandpit,17
raining,87
scone,3
gums,4
johnny,25
names,40
letter,78
erase,4
word,80
because_of,8
child,44
button,69
salford,1
catfood,34
joel,65
ooh_ooh_ooh,1
screw,34
caught,68
photos,15
cap,10
proper,16
bugs,35
kids,43
disneyland,2
agh,19
marmalade,12
days,59
beer,24
monster,84
deserved,3
cuddles,9
lots,137
masie,1
dict↓a↑ting,1
danny,5
sulk,5
boo,154
church,38
catching,14
shh,37
molly,13
enjoying,9
longer,22
diesel's,4
santa's,9
shouting,29
girlie,14
passing,5
tap,47
radio,20
misery,3
d'you,46
goldie_hawn,1
um,9
cranberry,7
diesel,18
problems,10
beano,4
mixing,8
spod,1
dadda,6
ellie,10
clk_clk_clk_clk_clk,1
ssh,45
hope,59
sheep's,3
everybody,98
dark,79
likes,126
reckon,12
grr,44
calls,13
sneaked,5
tooth,11
high,78
burglars,3
survive,1
onto,65
squawk,1
stinking,5
nurse,44
rammed,2
pass_the_parcel,3
jacket,22
ringing,22
during,13
towards,13
whee,159
spilled,14
neigh,15
c,72
weren't,117
urler,10
doctor's,15
hands,236
salad,20
video,38
dum,3
set,73
dutch_baby,2
thingies,2
fairground,2
buying,36
ups_a_daisy,24
bowl,89
sally,33
ladle,2
prince,18
comfortable,14
falling,101
spoon,158
fellow,5
d↓own,3
fight,46
beanbag,14
elephant's,16
0and,3
scratch,27
clicketclick,1
mmhm,2
hit,155
rear,1
richard,15
each,66
clown,53
sorts,18
n↑ice,2
denver,15
scrambled,11
shouts,6
clock,81
drives,12
squeal,10
flew,10
hour,41
allowed,51
bedtime,46
bringing,29
donald's,1
tow,22
manchester,7
cambridge,7
chestnuts,2
p,41
means,46
neck,56
where've,26
curtains,35
fruit,49
°come,1
babys,46
highfive,3
messing,6
mr,48
y,21
tape's,10
earth,8
fed,39
shop,137
peter's,15
tallest,3
pleasant,11
persistent,1
skating,3
matthew,10
rooster,2
drill,17
hang,125
annie_apple,13
awful,78
as_if,16
missed,76
tummyache,6
cooking,60
kettle,16
crane,40
whole,78
kleenex,11
gosh,70
squirrel,29
sink,31
smaller,41
eighty,4
helping,42
fudge,7
wear,136
carving,4
rug,21
note,4
cried,28
jeremy,30
peg,10
teddys,19
seal,34
handball,3
constant,1
duvet,21
pool,60
finishes,5
laura,4
stairs,69
tight,43
arm's,3
phhh,2
barry,24
spanked,3
la,31
gillian,26
neat,9
managed,15
deck,2
slowly,15
sticker,27
rudolph,4
humpty,22
fixed,30
office,27
emily,20
railroad,5
bash,58
zita,21
flipping_heck,2
split,9
david,63
shock,6
whoosha,2
used,26
talks,9
roof,64
so_that,38
balloons,45
anyway,124
toenails,3
ooh,75
course,49
easter_monday,2
it'll,165
myself,79
steering,23
mm↑hhmm,1
summer,48
own,151
fiddle,7
beginning,24
wedged,4
corn,26
sharks,11
sea,56
rotorblades,1
r,43
upside,60
ribbit,7
bite,172
temperature,20
∇very,2
gets,121
burgers,7
cramped,1
also,14
disaster,7
pin,30
track,110
crunch,14
meet,15
extra,11
bib,52
game's,1
baas,1
branch,4
shiny,24
tram,1
scarlet,2
amount,6
topple,4
stir,28
photo,15
winnie_the_pooh,10
why's,30
nails,21
wears,9
keeps,49
brother's,10
christened,3
rescue,18
necklace,18
choo_choo,87
crashes,3
heaving,1
quiet,70
interested,31
rest,111
reel,6
they'll,57
tellie,55
hoover,26
cream,86
boom,34
wheelbarrow,17
bakes,1
gloves,23
mucky,11
crashing,22
arthur,14
tasty,31
moroccan,2
cock_a_doodle_doo,22
bears,25
spotted,4
cabbage,21
tyres,6
little_bear,8
answer,17
frogs,26
jingles,1
music,40
colored,22
shape's,4
angelica,2
mama's,18
lost,219
pub,23
songs,27
lowis,3
sweetie,23
whatever's,3
eleanor,4
catchment,1
wednesday,31
woman,25
cock_robin,1
pussycat,40
foods,4
hopeless,8
god,48
gotta,79
toddlers,17
bashes,1
wind_the_bobbin_up,3
hyperactive,2
mustn't,35
sucking,8
batman,19
months,33
helped,12
hotdog,31
person,38
similar,12
muck,13
scarf,17
rod,12
might've,1
nellie,7
speak,21
frightening,3
sue,40
leaning,2
above,11
snappies,2
ladders,11
waking,28
clop,5
liverpool,3
lion,186
feeding,33
thumb,47
cummings,2
soandso,2
santa,49
laughing,32
miserable,6
nother,4
grey,49
achoo,19
sophie's,7
postman,26
bat,16
collection,9
press,100
sidewalk,3
piglet's,2
ripped,18
inga,5
trainers,5
tastes,4
doll,99
efforts,1
couldn't,196
rubble,7
pliers,25
carrots,37
tinge,1
knickers,34
surf,3
submarine,1
brilliant,95
beep^beep,50
settled,6
stormed,3
missus,17
thinks,28
cuddle,96
clinic,2
safer,1
breadstick,16
while,151
vehicle,17
tigers,49
filled,16
glue,67
barn,29
policewoman,2
skip,5
0i'd,2
peep^peep,30
innit,3
jumper,51
chalk,28
thigh,1
prison,5
bickie,5
lions,24
milkbottles,15
row,97
whisper,3
mumma,15
winy,1
bap,6
inchworm,1
ribbon,36
more_dadaw,43
mashed,8
attendant,1
plants,5
california's,2
swimmers,2
pulls,9
pacifier,10
where're,101
fried,7
recycled,1
bites,3
painting,74
gherkin,4
corner,64
shell,14
telescope,15
hammering,6
argh,6
michelle,56
instead,79
ruin,10
chose,3
alien,4
jumpy,3
banbury_crosss,1
yuck,24
pole,14
spike,2
lampshades,1
decr↓eases,1
grumpy,6
rascal,14
gentleman,1
excellent,11
gun,45
ripe,7
ding,21
boing,26
canadian,1
relearn,1
neeeow,2
missouri,1
ee,8
nightie,2
circus,35
shouldn't,54
janine,1
marbles,20
sophie,24
reins,2
how_come,21
nest,23
chantilly's,2
bunk,7
probably,180
choo^choo,59
married,19
forgot,67
flown,4
elsie_grandma,31
statue,9
seesaw,35
spaghetti,36
cleaner's,2
eleventh,1
briefcase,15
oho,1
puzzles,26
birthday's,4
paintwork,2
opened,32
girl's,32
club,4
doghouse,2
notes,7
promised,5
gap,10
digger,74
macaroni,13
heh,14
rube,5
country,5
knob,3
burger,29
edward's,4
goofy,5
tank,22
drawer,15
life,28
ends,7
postman_pat,67
joker,3
pirate,6
shape,64
benny,7
budgie,29
carefully,20
hotchoc,8
mister,40
knows,36
jelly,29
wonky,2
listening,36
bedknobs_and_broomsticks,1
em,100
bumped,28
dried,8
sellotape,13
expert,2
oops_a_daisy,9
joins,2
winning,3
bodys,1
dunking,3
santa_claus,45
hickory,1
yeehah,2
middle,68
louder,4
nikki,11
ducky,8
nuggin,1
pattern,16
living,22
gooo,3
dogger,2
terribly,6
spout,10
luck,7
chap,1
stones,14
geese,20
mixed,20
begin,6
older,30
moons,2
candles,32
angie's,2
snow,69
chicks,17
noddy,28
fork,68
massage,3
thinking,33
shorter,10
bobos,5
hundred,22
lotion,1
stone,17
bench,14
movement,4
slightly,9
rose,12
oops,79
affecting,1
steps,38
heads,20
lockers,1
shout,31
rider,5
oranges,24
grew,26
shaky,15
grain,16
hotdogs,7
laugh,25
cows,115
george,51
threatening,2
freddie_fish,1
spade,21
eyedrops,1
cards,47
dusty,9
tricky,17
munch,3
willow,2
hey-diddle-diddle,1
bells,17
undo,23
john's,21
cage,18
walls,17
string,40
twig,3
hens,21
donkey,39
popped,16
petal,10
mummie's,64
speed,5
van,74
soap,27
lollilollipop,3
carwash,19
sweater,14
women,5
birds,33
raggy_dolls,4
she'd,49
went°,1
mieow,29
coleslaw,1
carolie,1
pingu,123
oil,6
schmeichel,1
threw,32
rosie,53
cheerio,6
roared,3
