norm,KBNC_1m_Count
brooch,17
clothes,142
joined,68
toiled,2
horses,106
justifiably,1
range,41
widening,2
fish,64
seat,96
changing,30
marred,1
touched,80
competition,53
listed,4
yours,52
platform,23
fragments,7
year,171
furiously,14
fetch,51
royal,15
palest,2
guess,43
graceful,7
compartment,9
reality,24
fred,36
system,32
supposed,73
ladder,39
waited,120
spells,5
sleepy,10
gazzer,315
wants,99
nomes,130
smell,76
legs,168
cottage,132
hanged,4
kept,230
swan,88
doorway,48
hedge,36
strong,116
december,11
paces,9
inveraray,11
break,67
locks,5
bitter,22
pulled,215
include,16
sat,426
likes,70
search,41
extremely,16
striped,14
sent,121
sweet,61
struck,51
character,27
helplessly,16
neatly-brushed,1
shows,32
landing,29
below,119
strike,19
yard,101
unstoppable,1
bella,214
aloud,31
softer,5
paused,84
coat,88
spanish,10
howls,5
explained,99
yahoos,13
human,150
forest,107
repeated,75
square,102
close,203
elastic,11
invited,31
walking,129
corridor,78
scraped,13
cross-stitch,2
smiling,132
begin,53
fennell,16
tom,443
precisely,9
joke,50
inches,35
measure,40
across,453
hills,19
art,16
musical,12
slightly,73
broom,29
yawn,4
salt,113
alice,154
one-arm,6
stand-offish,1
perspective,1
nigel,38
china,21
drove,72
bar,50
13,22
muffled,13
hanging,87
suggestions,8
pleasant,28
storm,28
image,27
bryan,1
fletcher,31
torn,25
pinched,19
towel,13
television,73
bulb,7
tongue,43
danger,63
pawing,2
carrying,61
complete,67
clarice,2
rats,17
upset,58
knocked,68
nags,6
hushed,9
biddy,76
scottish,4
large,299
pausing,10
tucking,7
save,91
ethel,64
failed,22
shakespeare,101
lodging,2
dirt,25
normally,22
ward,23
rock,75
perpendicular,15
allowance,3
hooked,17
band,16
flattered,1
wood,194
bedroom,91
chewing-gum,1
tears,116
stopping,40
wool,52
rrremember,1
opening,67
chickens,20
shopping,34
along,440
distinguish,4
darn,7
protective,6
somehow,89
spirit,40
fun,90
matter,176
pushing,60
hundredths,5
settlement,3
evans,202
herr,205
launched,15
practising,9
source,8
youngest,17
giving,110
fashion,17
provided,14
power,107
scharnhorst,1
conglomeration,2
finished,134
wad,2
spotlight,1
patting,5
stepping-stone,2
horsfall,10
resembled,2
childlike,3
nature,32
turning,145
excitable,3
longed,24
wistfully,7
stare,35
hoom,8
cried,264
meetings,28
thinks,77
pecking,6
bujan,4
lost,172
100,11
thank,208
satan,13
coverlet,3
carrie,530
hardest,6
softly,58
measures,11
super,18
sunny,14
turtle,22
wrist,22
pipe,40
scrubby,3
wrong,268
rolling,30
purl,6
squabbles,1
space,94
cobbled,9
enjoyed,42
picked,182
rules,16
drink,96
clarabel,12
width,12
lass,67
compass,27
etty,5
massaging,1
rot,3
wedding,22
awarded,3
keith,83
rosalind,26
gazing,50
question,154
armchair,34
dragging,22
mon,3
landlady,7
wallpaper,10
princess,64
beautifully,17
grapes,10
sparkling,13
turnips,2
prisoners,15
blamed,8
happy,161
jumped,121
trod,10
seated,19
zach,176
phone,86
homework,16
breathing,49
hurled,7
mildred,232
harsh,15
nights,33
rattle,10
beside,214
army,38
n,50
ones,116
shrews,14
anxious,25
joyful,4
loved,85
purely,3
missed,53
wondered,174
several,132
ladders,9
fridays,5
f.g.y.,10
leading,45
defensively,3
captain,193
case,137
hurt,151
militsa,4
puzzle,15
story,119
reaction,23
rat-trap,1
favourite,34
creature,91
dear,278
stable,29
country,209
winced,6
askew,1
restlessly,8
cheering,13
motive,4
dare,81
rubbish,38
nervously,28
laputans,4
disobedient,2
sir,165
stood,451
loopy,45
sheer,13
er,57
details,21
holding,150
gnädige,4
demand,7
mitzi,4
lengths,34
wildly,21
clipped,13
incredible,10
shattered,16
goes,104
75c,1
no-one,45
heaping,3
left-handed,3
wicked,31
nick,253
weakness,8
campbell,42
nordern,392
helga,13
supervising,1
walled,3
sincerely,4
bodies,23
jets,7
hardly,127
stowbridge,11
rilla,68
catch,123
treated,15
marilla,87
conductor,5
condemned,3
yous,5
potty,7
stained,14
bquo,1
spots,20
muttering,25
climb,62
sissie,4
metasequoiaglyptostroboides,1
coloured,68
ready,181
thirkett,17
nicer,7
