norm,BNC_1m_Count
vat,32
glittered,2
farmer-settlers,1
somehow,42
knockout,1
inn,21
driving,49
substantial,65
suppose,84
dense,6
rooms,49
string,25
abortion,14
19th,12
maintains,8
church,200
damage,67
inquiry,26
teenage,11
artists,35
confirm,34
victory,57
date,152
employee,30
piece,78
spontaneity,1
wide,99
fleeing,6
mirage,1
shopper,1
strewn,2
mid-wales,1
trap,17
waited,32
wantage,2
facility,20
demonstrate,26
brothers,33
tended,25
primed,2
ragusan,1
follow,93
vibration,3
dried,17
precisely,25
design,129
prescriptions,3
provide,201
tea,67
cemeteries,3
literally,24
observant,1
adopted,40
faltering,4
stained,13
doodling,1
product,90
elections,54
6.1,5
80%,3
18,80
matched,16
spontaneously,3
post,70
modifications,10
recovery,32
reassessed,1
living,139
400°f/gas,1
huge,63
8.1,5
latter,70
lounge,17
"50,000",10
potentially,15
descend,4
everton,9
alga,1
daftness,1
severe,46
package,48
selfish,5
education,235
darwin,8
stay,94
early,310
degree,76
carried,125
hard,207
acting,36
attractive,43
severely,19
exception,17
essentially,21
achieve,59
deceit,5
danger,50
whereas,55
studies,120
drug,38
colours,49
dissatisfaction,2
bussed,1
send,66
'm,568
prevent,59
severn,3
star,54
display,62
spices,6
avoid,70
upsides,1
assembly,48
touch,59
denmark,14
comet,3
given,360
several,217
convergence,4
schools,122
brendan,6
africa,77
grade,25
bill,128
feed,30
villa,18
corp,55
grant,68
calculated,29
consecutive,6
unsuitable,4
sin,12
holland,13
traynor,1
expenses,20
grass,42
specialized,4
unclothed,1
crept,12
questions,128
perforce,2
old,432
worse,53
officers,82
immature,8
sponsors,5
brochure,11
fat,35
organising,9
bills,30
maturity,16
scarman,4
borneo,3
correspondent,18
sniff,2
lost,166
fallon,6
gratitude,8
jury,17
controls,30
elegant,15
non-verbal,5
academic,39
shook,42
seem,145
occasionally,35
bread,42
begin,68
supervision,11
harm,23
friendly,35
seeks,13
zloty,1
successful,99
prediction,6
falls,29
below,137
estates,16
1750,2
sensitivity,10
pouring,14
opposite,48
missed,44
fan,19
stimulated,8
indica,1
december,96
integral,13
messages,14
carter-ruck,1
lessons,19
interacts,3
blade,7
anyway,107
greece,16
smallest,9
musical,29
$,3
wilko,3
courses,74
worth,99
interpreter,4
components,37
acid,42
card,62
corresponding,17
scotch,6
pause,16
cope,38
hit,98
altrincham,1
cousins,4
67,10
butterfly,8
lease,27
livermore,2
visibility,6
individuals,62
trains,17
romantic,19
vast,37
educational,54
essential,73
reduce,69
buses,17
conducted,27
ate,17
discussing,18
tory,26
theories,27
silk,23
report,189
matisse,5
threshold,8
cardiff,12
measures,65
free,165
byelorussia,1
strategy,51
lottie,1
designed,79
interests,91
ditch,4
z,9
rapid,30
orthodox,14
ground,133
wait,58
spiritualists,2
france,118
alone,138
missing,30
terrace,14
notify,8
nights,31
suspicion,14
wilson,34
attend,27
ship,52
unwanted,10
torrance,2
disappeared,37
aardvarks,1
certainly,157
encephalitis,1
trajectories,1
details,102
paisley-based,1
chair,77
earnings,29
group,394
clock,36
denny,2
endorsed,12
belinda,12
ibm,35
sheila,11
busy,44
ancestors,10
ε,1
audit,19
contending,1
atlanticists,1
american,139
senior,70
countryside,39
