index,CABNC_Count
newspaper,23
plated,2
ornamental,4
taste,97
department,41
brewery,22
jessie,26
freddy,7
floored,3
crisps,62
dishes,35
bollocks,47
bleach,27
chucked,44
admit,92
condition,23
panda,20
telephone,130
ness,3
appropriate,21
groaning,3
outdoor,6
son,133
homework,38
knives,16
hoping,72
reading,175
barking,19
plump,3
training,90
waste,67
geography,13
arguing,12
simple,64
jimmy,39
potty,59
flat,175
wet,150
fore,6
happens,171
welding,14
actual,132
thingie,11
forensic,5
cooked,74
control,74
claims,25
boo,42
wallet,19
pops,26
nightmare,16
wool,34
cigarette,39
trades,1
highly,48
minibus,37
designing,4
colonel,15
ma,162
timothy,37
laboured,2
casual,19
clay,48
